                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7137,                 1.9003,                 1.2853,                 0.8335,                0.42822,                0.46046,                0.27465,                 1.1824,                 1.0611,                 1.0492,             0.00047079,             0.00047079,             0.00047079
                      2,                 1.3283,                 1.0278,                 1.0243,                0.58789,                0.53124,                0.54985,                0.33334,                 1.1527,                0.95226,                 1.0234,              0.0009315,              0.0009315,              0.0009315
                      3,                 1.2734,                0.92252,                 1.0053,                0.61924,                0.55249,                0.56998,                0.35889,                 1.2011,                0.89129,                 1.0978,              0.0013765,              0.0013765,              0.0013765
                      4,                 1.2282,                0.91493,                 1.0114,                0.91361,                0.48252,                 0.5813,                0.37378,                 1.1079,                0.83775,                 1.0319,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.1972,                0.81822,                 1.0017,                0.77732,                0.60309,                0.66397,                0.41924,                 1.1309,                0.75131,                 1.0261,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.2348,                0.83361,                  1.001,                0.73837,                0.63392,                0.64525,                0.41371,                 1.0657,                0.69152,                0.99477,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.2057,                0.77108,                0.98893,                0.70516,                0.63337,                0.68609,                0.45246,                 1.0626,                0.68025,                 1.0019,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.1672,                 0.7379,                0.97455,                0.78027,                0.58779,                0.63063,                 0.4082,                 1.0808,                0.69713,                0.99836,              0.0012875,              0.0012875,              0.0012875
                      9,                 1.1839,                0.75793,                 0.9794,                0.80138,                0.63276,                0.70078,                0.46492,                 1.0204,                0.62855,                0.97701,               0.001264,               0.001264,               0.001264
                     10,                  1.147,                0.75532,                0.97582,                0.73032,                0.63814,                0.71555,                0.48264,                 1.0234,                0.62487,                 0.9852,              0.0012404,              0.0012404,              0.0012404
                     11,                 1.1368,                0.75776,                0.97532,                0.80004,                0.62095,                0.71665,                0.47597,                 1.0753,                0.64709,                 1.0019,              0.0012168,              0.0012168,              0.0012168
                     12,                  1.123,                0.72316,                0.96625,                0.91193,                0.65554,                0.75111,                0.50727,                  1.013,                0.59404,                0.96975,              0.0011932,              0.0011932,              0.0011932
                     13,                 1.1325,                0.68499,                0.97168,                 0.8656,                0.69627,                0.77513,                0.51833,                 1.0083,                0.57613,                0.97191,              0.0011696,              0.0011696,              0.0011696
                     14,                 1.1209,                0.67752,                0.96255,                0.88929,                0.67729,                0.75235,                0.51277,                 0.9986,                0.58522,                0.96617,              0.0011461,              0.0011461,              0.0011461
                     15,                 1.1121,                0.66514,                0.96329,                0.82401,                0.68515,                0.74522,                0.50348,                0.98717,                0.57062,                0.95871,              0.0011225,              0.0011225,              0.0011225
                     16,                 1.0799,                0.66214,                0.93963,                 0.8078,                 0.6636,                0.74595,                0.49212,                 1.0066,                0.58286,                0.97001,              0.0010989,              0.0010989,              0.0010989
                     17,                 1.0862,                0.65025,                 0.9567,                 0.7782,                0.69045,                0.75284,                0.50585,                 1.0349,                0.57671,                0.97724,              0.0010753,              0.0010753,              0.0010753
                     18,                 1.1038,                0.64767,                0.95583,                0.81625,                0.66719,                0.73317,                0.47205,                  1.042,                0.57703,                0.99169,              0.0010517,              0.0010517,              0.0010517
                     19,                  1.091,                0.64693,                0.95017,                0.90899,                0.66747,                0.76339,                0.51029,                0.97794,                 0.5537,                0.95699,              0.0010282,              0.0010282,              0.0010282
                     20,                 1.0774,                0.64845,                0.96032,                0.87889,                0.66082,                 0.7609,                0.51329,                 1.0171,                0.55376,                0.97129,              0.0010046,              0.0010046,              0.0010046
                     21,                 1.0349,                0.61509,                0.93947,                0.81169,                0.69537,                0.76857,                0.51702,                0.97552,                0.53149,                0.95466,             0.00098101,             0.00098101,             0.00098101
                     22,                 1.0638,                0.61637,                 0.9456,                0.83962,                0.66568,                0.78035,                0.52408,                0.97436,                0.54279,                0.95458,             0.00095743,             0.00095743,             0.00095743
                     23,                 1.0613,                0.60528,                0.93088,                0.81251,                0.70402,                0.75337,                0.52541,                0.97108,                0.53884,                0.95644,             0.00093385,             0.00093385,             0.00093385
                     24,                 1.0507,                0.60598,                0.93609,                0.91365,                0.66339,                0.76019,                0.51525,                0.98978,                0.52834,                0.95264,             0.00091027,             0.00091027,             0.00091027
                     25,                  1.044,                0.58917,                0.93319,                0.85785,                 0.6948,                0.77233,                0.51606,                0.98787,                0.53182,                0.95752,             0.00088669,             0.00088669,             0.00088669
                     26,                 1.0355,                0.58559,                0.93744,                0.83522,                0.68115,                0.76749,                0.52474,                0.98098,                0.52735,                0.96105,             0.00086312,             0.00086312,             0.00086312
                     27,                 1.0441,                0.58185,                0.92706,                0.87086,                0.70044,                0.79596,                0.54388,                 0.9761,                0.51889,                0.95578,             0.00083954,             0.00083954,             0.00083954
                     28,                 1.0281,                0.57687,                0.92036,                0.77151,                0.75461,                0.79131,                 0.5343,                0.95914,                0.52054,                0.95116,             0.00081596,             0.00081596,             0.00081596
                     29,                 1.0112,                0.57756,                0.92266,                0.86672,                0.70587,                0.79254,                0.53923,                0.99226,                0.51454,                0.96727,             0.00079238,             0.00079238,             0.00079238
                     30,                 1.0113,                0.56728,                0.92279,                0.84695,                 0.6823,                0.75441,                0.51935,                0.96222,                0.52121,                0.95337,              0.0007688,              0.0007688,              0.0007688
                     31,                 1.0073,                0.55293,                0.91969,                0.83448,                0.71282,                0.78169,                0.52891,                0.97623,                0.51265,                0.94993,             0.00074522,             0.00074522,             0.00074522
                     32,                 1.0233,                0.56943,                  0.923,                 0.8478,                0.70436,                0.78884,                 0.5296,                0.96852,                0.50285,                0.95253,             0.00072164,             0.00072164,             0.00072164
                     33,                  0.974,                0.54013,                0.91725,                0.89803,                0.71398,                0.78519,                0.53888,                0.94728,                0.49483,                0.94719,             0.00069807,             0.00069807,             0.00069807
                     34,                0.98879,                 0.5337,                0.92432,                0.88177,                 0.6766,                0.77811,                0.54418,                0.93509,                 0.5091,                0.93749,             0.00067449,             0.00067449,             0.00067449
                     35,                 0.9794,                0.53426,                0.91908,                0.87129,                0.72339,                0.78305,                0.53328,                0.96454,                0.51326,                0.95151,             0.00065091,             0.00065091,             0.00065091
                     36,                0.97188,                0.52322,                0.91204,                0.85842,                0.71274,                0.78615,                0.53898,                  0.956,                0.49305,                0.94588,             0.00062733,             0.00062733,             0.00062733
                     37,                0.95119,                0.50566,                0.91604,                0.84861,                0.75124,                0.81157,                0.55605,                0.95549,                0.49693,                0.94116,             0.00060375,             0.00060375,             0.00060375
                     38,                0.97518,                0.52106,                0.90846,                 0.8133,                0.73411,                0.79369,                0.54593,                0.95561,                0.49738,                0.94974,             0.00058017,             0.00058017,             0.00058017
                     39,                 0.9502,                0.52123,                0.90836,                0.86208,                0.69945,                0.78173,                0.53989,                0.94369,                0.49787,                0.94793,              0.0005566,              0.0005566,              0.0005566
                     40,                0.98064,                0.52412,                 0.9099,                0.89737,                0.71176,                0.79233,                0.54803,                0.95501,                0.50212,                0.95326,             0.00053302,             0.00053302,             0.00053302
                     41,                0.92406,                0.49665,                0.90449,                0.93472,                0.68452,                0.79604,                0.55354,                 0.9455,                0.49248,                0.93863,             0.00050944,             0.00050944,             0.00050944
                     42,                  0.932,                0.51103,                0.91228,                 0.9228,                0.67229,                0.79281,                0.54427,                0.95647,                0.49021,                0.94825,             0.00048586,             0.00048586,             0.00048586
                     43,                0.93856,                0.50039,                0.90418,                0.82982,                0.72624,                0.80036,                0.55383,                0.95884,                0.48698,                0.94906,             0.00046228,             0.00046228,             0.00046228
                     44,                0.92815,                0.48729,                 0.9013,                0.83742,                0.74785,                 0.8013,                0.55047,                 0.9407,                0.47811,                0.94219,              0.0004387,              0.0004387,              0.0004387
                     45,                  0.907,                0.46617,                0.90338,                0.86392,                0.74387,                0.80351,                0.55569,                0.95203,                0.48268,                0.94804,             0.00041512,             0.00041512,             0.00041512
                     46,                0.89819,                0.47181,                0.89377,                0.88815,                 0.7128,                  0.792,                0.54635,                0.96195,                 0.4879,                0.94655,             0.00039155,             0.00039155,             0.00039155
                     47,                0.91563,                0.48473,                0.90007,                0.89174,                0.73948,                0.79879,                0.55207,                0.93988,                0.46912,                0.94335,             0.00036797,             0.00036797,             0.00036797
                     48,                0.91556,                0.47325,                0.89528,                0.87188,                0.74996,                0.80851,                0.56018,                0.93788,                0.47102,                0.94011,             0.00034439,             0.00034439,             0.00034439
                     49,                0.91287,                 0.4725,                0.89568,                0.91456,                0.74062,                0.80945,                0.56071,                0.92757,                0.47338,                0.93426,             0.00032081,             0.00032081,             0.00032081
                     50,                0.88013,                0.46554,                0.89483,                0.85399,                0.74694,                0.80924,                0.56915,                0.92993,                 0.4694,                0.94066,             0.00029723,             0.00029723,             0.00029723
                     51,                0.88687,                0.44142,                0.88743,                0.92449,                0.73884,                 0.8198,                0.57377,                0.91924,                0.46325,                  0.939,             0.00027365,             0.00027365,             0.00027365
                     52,                0.86001,                0.42274,                0.87858,                0.87108,                0.72568,                0.79423,                 0.5472,                0.93136,                0.47328,                0.94338,             0.00025007,             0.00025007,             0.00025007
                     53,                0.86098,                0.41833,                0.88055,                0.87745,                0.75165,                0.81463,                0.54763,                0.92866,                0.46774,                0.93618,              0.0002265,              0.0002265,              0.0002265
                     54,                0.86138,                0.41161,                0.88236,                0.91649,                0.71803,                0.81052,                0.55928,                0.91074,                0.46378,                0.93459,             0.00020292,             0.00020292,             0.00020292
                     55,                0.85464,                0.41816,                0.87191,                0.89672,                0.73693,                0.82197,                0.56694,                0.91932,                0.46423,                0.93622,             0.00017934,             0.00017934,             0.00017934
                     56,                0.86019,                 0.4122,                0.87524,                0.93677,                0.74621,                0.80986,                0.55764,                0.93148,                0.46701,                0.93678,             0.00015576,             0.00015576,             0.00015576
                     57,                0.84109,                0.40465,                0.87242,                 0.8988,                0.72437,                0.80189,                0.55516,                0.92145,                0.46059,                0.93518,             0.00013218,             0.00013218,             0.00013218
                     58,                 0.8472,                0.40731,                0.86882,                0.89845,                0.72584,                0.79989,                 0.5499,                0.91674,                0.46083,                0.93411,              0.0001086,              0.0001086,              0.0001086
                     59,                0.82617,                0.39469,                0.86519,                0.88878,                0.73439,                0.79915,                0.55071,                0.92825,                0.45703,                0.93965,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     60,                 0.8249,                0.38616,                0.87279,                0.89414,                0.73686,                0.80147,                0.55499,                0.91807,                 0.4527,                0.93965,             6.1447e-05,             6.1447e-05,             6.1447e-05
